Forks,Watchers,Contributors,Commits,Branches,Open Issues,Closed Issues,Open PRs,Closed PRs,Size,Language,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Stargazers
13641,1630,452,12847,106,467.0,20376.0,22,6349,1058081.0,0,True,False,True,True,False,True,49003
3408,604,96,1006,1,418.0,1386.0,39,365,211841.0,13,True,True,True,True,False,True,48731
12923,1576,52,238,8,695.0,577.0,27,188,103959.0,1,True,True,True,True,False,False,48231
8142,1137,787,11171,144,615.0,4445.0,288,6665,164192.0,9,True,True,True,True,False,True,48147
4080,284,240,3076,102,877.0,1631.0,157,3698,42585.0,0,True,True,True,False,False,True,48075
6862,1434,554,12782,10,365.0,2701.0,234,5274,68673.0,13,True,True,True,True,True,True,47591
8448,1029,332,7341,13,719.0,4076.0,136,967,98305.0,3,True,False,True,True,False,True,47491
10537,2430,286,6053,24,633.0,2810.0,107,1571,419774.0,6,True,True,True,True,True,False,47452
7139,869,593,3980,37,210.0,3836.0,61,1972,20992.0,2,True,True,True,False,False,False,47367
3884,353,1119,21671,3,992.0,3936.0,188,1765,44224.0,1,True,True,True,True,True,True,47247
3627,814,204,1660,27,71.0,3331.0,18,1947,16985.0,9,True,False,True,False,False,False,47211
9985,1782,518,9783,41,481.0,2321.0,253,2813,24601.0,1,True,True,False,True,False,False,47176
3946,604,385,1729,19,190.0,2273.0,168,954,102227.0,15,True,True,True,True,True,False,47143
3575,522,468,4407,70,321.0,4136.0,50,3747,26647.0,1,True,True,True,True,True,False,47107
2825,419,108,5661,70,1379.0,2809.0,52,3538,90674.0,0,True,True,True,True,True,True,47042
7684,2250,291,6028,8,16.0,3110.0,5,3770,139728.0,6,True,True,True,True,True,False,47005
10082,1420,1008,11639,56,92.0,4594.0,112,4257,55898.0,23,True,True,True,True,True,True,46640
2774,463,384,2105,55,327.0,4538.0,15,1990,12513.0,11,True,False,True,True,False,False,46630
22977,1852,236,1595,1,25.0,190.0,12,611,908394.0,24,True,True,True,True,False,False,46542
6729,2136,51,150,1,37.0,39.0,32,111,105.0,2,True,False,True,False,False,False,46506
3875,424,628,8430,14,938.0,5066.0,233,8372,107531.0,2,True,True,True,True,False,True,45568
3911,784,453,4140,40,817.0,11007.0,53,3734,103387.0,0,True,True,True,False,False,True,45276
3653,740,51,736,5,183.0,495.0,18,136,49045.0,2,True,True,True,True,True,False,45140
12299,1514,87,1723,6,19.0,786.0,4,499,201849.0,1,True,True,True,False,True,False,44872
2138,856,72,273,1,61.0,30.0,36,123,330.0,1,True,True,True,True,False,False,44828
5584,959,1027,15662,14,973.0,4972.0,65,5217,96898.0,2,True,False,True,False,False,True,44723
6936,373,1039,5577,30,232.0,2391.0,61,5360,245042.0,0,True,True,True,False,True,True,44596
3629,364,2088,11834,54,155.0,926.0,70,8985,20099.0,8,True,True,True,True,False,True,44184
29070,663,16222,83928,10,681.0,7199.0,203,55316,963661.0,0,True,True,True,False,False,True,43981
9099,1638,267,5373,30,161.0,3653.0,7,3850,48637.0,25,True,False,True,False,True,False,43969
3321,385,163,2045,39,12.0,747.0,4,371,20994814.0,15,True,True,True,True,True,True,43820
5240,1575,695,33783,1564,186.0,8683.0,51,3485,120145.0,2,True,True,True,True,False,True,43467
9237,1339,767,19712,15,161.0,6029.0,64,9461,75159.0,9,True,True,True,False,False,True,43397
2830,621,438,19626,2034,2645.0,10120.0,38,6523,756781.0,2,True,False,True,False,True,True,43347
1558,542,217,3760,23,98.0,982.0,38,923,49971.0,1,True,True,True,True,False,True,43260
9589,973,147,711,1,11.0,52.0,7,280,4658.0,1,True,True,True,True,True,True,43201
9377,1050,479,34036,82,34.0,6530.0,81,10050,234466.0,2,True,False,True,False,False,False,43140
2169,281,304,1454,7,590.0,761.0,137,808,5900.0,2,True,True,True,True,True,False,43062
4605,675,739,4717,22,598.0,4793.0,18,4434,119869.0,9,True,True,True,True,True,False,43027
6771,1837,872,6330,14,0.0,462.0,4,2648,13400.0,26,True,False,True,False,False,False,42815
6863,1244,24,667,26,31.0,74.0,27,223,21541.0,2,True,True,True,True,False,False,42805
8033,627,41,995,1,18.0,3286.0,0,203,30454.0,10,True,False,True,True,False,True,42766
15140,2067,66,250,6,162.0,69.0,56,112,10242.0,16,True,True,True,True,False,False,42746
11493,2419,57,807,23,123.0,331.0,65,393,13309.0,25,True,True,True,True,False,False,42650
18081,2010,186,2626,14,64.0,2696.0,20,2127,131598.0,2,True,True,True,False,False,True,42488
9371,1105,362,17239,1,328.0,8627.0,14,7393,134429.0,2,True,True,True,True,True,False,42459
8688,1380,89,5389,14,21.0,2497.0,13,530,55238.0,9,True,False,True,False,False,False,42413
935,226,13,36,2,1.0,13.0,2,34,2579.0,4,True,True,True,True,False,False,42355
2260,457,379,2928,170,668.0,4381.0,92,2718,40238.0,2,True,True,True,False,False,True,42350
2501,701,218,5683,20,29.0,2661.0,15,2246,7580.0,4,True,True,True,False,False,True,42340
5194,940,1393,54427,790,3624.0,19399.0,919,25524,266457.0,27,True,False,True,False,False,True,42339
16561,2203,902,14185,33,239.0,7001.0,60,8611,203925.0,9,True,False,True,True,True,False,42228
5623,811,1053,15763,17,644.0,7859.0,176,6270,97548.0,0,True,True,True,False,False,True,42225
4719,1036,490,5896,5,819.0,4170.0,26,2119,205591.0,9,True,False,True,False,False,True,42190
6355,557,1466,6809,14,438.0,6907.0,97,6599,291529.0,0,True,True,True,True,True,False,41967
10750,2411,383,5178,1,115.0,181.0,11,880,38293.0,9,True,True,True,True,False,False,41965
5457,557,99,859,4,46.0,1894.0,5,454,1847.0,9,True,True,True,True,False,False,41961
4126,364,190,5964,2,70.0,1741.0,1,1548,27988.0,11,True,True,True,True,False,True,41836
7590,878,17,296,1,131.0,881.0,4,113,369676.0,1,True,False,True,True,False,False,41714
6186,688,833,13493,68,3665.0,5708.0,279,13763,206815.0,23,True,True,True,False,False,True,41572
7262,1588,169,2054,17,147.0,2485.0,37,1147,5897.0,6,True,False,True,True,True,True,41530
1075,204,301,2628,7,194.0,1019.0,11,1289,30367.0,11,True,False,True,False,False,True,41189
2886,571,520,2353,78,1816.0,4652.0,144,2135,119363.0,2,True,True,True,False,False,False,41169
4903,1004,197,2097,7,40.0,728.0,85,793,16778.0,1,True,True,True,True,False,True,41127
1081,598,225,6252,104,667.0,968.0,70,1018,51479.0,28,True,False,True,False,False,True,41094
