Name,Forks,Watchers,Contributors,Commits,Branches,Open Issues,Closed Issues,Open PRs,Closed PRs,Stargazers,Size,Language,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions
tldr,3629,364,2088,11834,54,155,926,70,8985,44184,20099,Markdown,True,True,True,True,False,True
learn-regex,6255,904,99,327,3,49,35,18,159,44062,1073,,True,True,True,True,False,False
DefinitelyTyped,29070,663,16222,83928,10,681,7199,203,55316,43981,963661,TypeScript,True,True,True,False,False,True
okhttp,9099,1638,267,5373,30,161,3653,7,3850,43969,48637,Kotlin,True,False,True,False,True,False
nerd-fonts,3321,385,163,2045,39,12,747,4,371,43820,20994814,CSS,True,True,True,True,True,True
meteor,5240,1575,695,33783,1564,186,8683,51,3485,43467,120145,JavaScript,True,True,True,True,False,True
d2l-zh,9073,987,249,4096,4,,,29,1229,43446,316821,Python,False,False,True,False,False,False
new-pac,8254,1456,1,1536,1,355,1044,0,3,43419,1238,,True,True,True,True,False,False
etcd,9237,1339,767,19712,15,161,6029,64,9461,43397,75159,Go,True,True,True,False,False,True
cypress,2830,621,438,19626,2034,2645,10120,38,6523,43347,756781,JavaScript,True,False,True,False,True,True
rich,1558,542,217,3760,23,98,982,38,923,43260,49971,Python,True,True,True,True,False,True
devops-exercises,9589,973,147,711,1,11,52,7,280,43201,4658,Python,True,True,True,True,True,True
Ghost,9377,1050,479,34036,82,34,6530,81,10050,43140,234466,JavaScript,True,False,True,False,False,False
dayjs,2169,281,304,1454,7,590,761,137,808,43062,5900,JavaScript,True,True,True,True,True,False
traefik,4605,675,739,4717,22,598,4793,18,4434,43027,119869,Go,True,True,True,True,True,False
awesome-ios,6771,1837,872,6330,14,0,462,4,2648,42815,13400,Swift,True,False,True,False,False,False
algorithm-visualizer,6863,1244,24,667,26,31,74,27,223,42805,21541,JavaScript,True,True,True,True,False,False
v2rayN,8033,627,41,995,1,18,3286,0,203,42766,30454,C#,True,False,True,True,False,True
TensorFlow-Examples,15140,2067,66,250,6,162,69,56,112,42746,10242,Jupyter Notebook,True,True,True,True,False,False
architecture-samples,11493,2419,57,807,23,123,331,65,393,42650,13309,Kotlin,True,True,True,True,False,False
AdminLTE,18081,2010,186,2626,14,64,2696,20,2127,42488,131598,JavaScript,True,True,True,False,False,True
pdf.js,9371,1105,362,17239,1,328,8627,14,7393,42459,134429,JavaScript,True,True,True,True,True,False
v2ray-core,8688,1380,89,5389,14,21,2497,13,530,42413,55238,Go,True,False,True,False,False,False
node,935,226,13,36,2,1,13,2,34,42355,2579,Shell,True,True,True,True,False,False
parcel,2260,457,379,2928,170,668,4381,92,2718,42350,40238,JavaScript,True,True,True,False,False,True
pi-hole,2501,701,218,5683,20,29,2661,15,2246,42340,7580,Shell,True,True,True,False,False,True
julia,5194,940,1393,54427,790,3624,19399,919,25524,42339,266457,Julia,True,False,True,False,False,True
go-ethereum,16561,2203,902,14185,33,239,7001,60,8611,42228,203925,Go,True,False,True,True,True,False
babel,5623,811,1053,15763,17,644,7859,176,6270,42225,97548,TypeScript,True,True,True,False,False,True
gogs,4719,1036,490,5896,5,819,4170,26,2119,42190,205591,Go,True,False,True,False,False,True
Projects,10451,1875,16,182,1,39,32,45,65,42086,1790,,True,True,True,False,False,False
jest,6355,557,1466,6809,14,438,6907,97,6599,41967,291529,TypeScript,True,True,True,True,True,False
build-web-application-with-golang,10750,2411,383,5178,1,115,181,11,880,41965,38293,Go,True,True,True,True,False,False
clash,5457,557,99,859,4,46,1894,5,454,41961,1847,Go,True,True,True,True,False,False
